"1","205438062","9/12/2016","In Attendance","205438062|9/12/2016"
"2","205438062","9/13/2016","In Attendance","205438062|9/13/2016"
"3","205438062","9/14/2016","In Attendance","205438062|9/14/2016"
"4","205438062","9/15/2016","In Attendance","205438062|9/15/2016"
"5","205438062","9/16/2016","In Attendance","205438062|9/16/2016"
"6","205438062","9/19/2016","In Attendance","205438062|9/19/2016"
"7","205438062","9/21/2016","In Attendance","205438062|9/21/2016"
"8","205438062","9/22/2016","In Attendance","205438062|9/22/2016"
"9","205438062","9/23/2016","In Attendance","205438062|9/23/2016"
"10","205438062","9/26/2016","In Attendance","205438062|9/26/2016"
"11","205438062","9/27/2016","In Attendance","205438062|9/27/2016"
"12","205438062","9/28/2016","In Attendance","205438062|9/28/2016"
"13","205438062","10/4/2016","In Attendance","205438062|10/4/2016"
"14","205438062","10/5/2016","In Attendance","205438062|10/5/2016"
"15","205438062","10/6/2016","In Attendance","205438062|10/6/2016"
"16","205438062","10/7/2016","In Attendance","205438062|10/7/2016"
"17","205438062","10/11/2016","In Attendance","205438062|10/11/2016"
"18","205438062","10/12/2016","In Attendance","205438062|10/12/2016"
"19","205438062","10/13/2016","In Attendance","205438062|10/13/2016"
"20","205438062","10/14/2016","In Attendance","205438062|10/14/2016"
"21","205438062","10/17/2016","In Attendance","205438062|10/17/2016"
"22","205438062","10/18/2016","In Attendance","205438062|10/18/2016"
"23","205438062","10/19/2016","In Attendance","205438062|10/19/2016"
"24","205438062","10/20/2016","In Attendance","205438062|10/20/2016"
"25","205438062","10/21/2016","In Attendance","205438062|10/21/2016"
"26","205438062","10/24/2016","In Attendance","205438062|10/24/2016"
"27","205438062","10/25/2016","In Attendance","205438062|10/25/2016"
"28","205438062","10/26/2016","In Attendance","205438062|10/26/2016"
"29","205438062","10/31/2016","In Attendance","205438062|10/31/2016"
"30","205438062","11/1/2016","In Attendance","205438062|11/1/2016"
"31","205438062","11/3/2016","In Attendance","205438062|11/3/2016"
"32","205438062","11/4/2016","In Attendance","205438062|11/4/2016"
"33","205438062","11/7/2016","In Attendance","205438062|11/7/2016"
"34","205438062","11/8/2016","In Attendance","205438062|11/8/2016"
"35","205438062","11/9/2016","In Attendance","205438062|11/9/2016"
"36","205438062","11/10/2016","In Attendance","205438062|11/10/2016"
"37","205438062","11/14/2016","In Attendance","205438062|11/14/2016"
"38","205438062","11/15/2016","In Attendance","205438062|11/15/2016"
"39","216095224","8/12/2016","Tardy","216095224|8/12/2016"
"40","205438062","11/17/2016","In Attendance","205438062|11/17/2016"
"41","205438062","11/18/2016","In Attendance","205438062|11/18/2016"
"42","205438062","11/28/2016","In Attendance","205438062|11/28/2016"
"43","205438062","11/29/2016","In Attendance","205438062|11/29/2016"
"44","205438062","11/30/2016","In Attendance","205438062|11/30/2016"
"45","205438062","12/1/2016","In Attendance","205438062|12/1/2016"
"46","205438062","12/2/2016","In Attendance","205438062|12/2/2016"
"47","205438062","12/5/2016","In Attendance","205438062|12/5/2016"
"48","205438062","12/6/2016","Unexcused Absence","205438062|12/6/2016"
"49","205438062","12/7/2016","Unexcused Absence","205438062|12/7/2016"
"50","205438062","12/8/2016","In Attendance","205438062|12/8/2016"
"51","205438062","12/9/2016","In Attendance","205438062|12/9/2016"
"52","205438062","12/12/2016","In Attendance","205438062|12/12/2016"
"53","205438062","12/13/2016","In Attendance","205438062|12/13/2016"
"54","236958724","8/12/2016","Tardy","236958724|8/12/2016"
"63","205438062","1/5/2017","In Attendance","205438062|1/5/2017"
"64","205438062","1/6/2017","Unexcused Absence","205438062|1/6/2017"
"65","205438062","1/9/2017","In Attendance","205438062|1/9/2017"
"66","205438062","1/10/2017","In Attendance","205438062|1/10/2017"
"67","205438062","1/11/2017","In Attendance","205438062|1/11/2017"
"68","205438062","1/12/2017","In Attendance","205438062|1/12/2017"
"69","205438062","1/13/2017","In Attendance","205438062|1/13/2017"
"70","205438062","1/17/2017","Unexcused Absence","205438062|1/17/2017"
"71","218545978","9/2/2016","Tardy","218545978|9/2/2016"
"72","205438062","1/19/2017","In Attendance","205438062|1/19/2017"
"73","205438062","1/20/2017","In Attendance","205438062|1/20/2017"
"74","205438062","1/23/2017","In Attendance","205438062|1/23/2017"
"75","205438062","1/24/2017","In Attendance","205438062|1/24/2017"
"76","205438062","1/25/2017","In Attendance","205438062|1/25/2017"
"77","205438062","1/26/2017","In Attendance","205438062|1/26/2017"
"78","205438062","1/27/2017","In Attendance","205438062|1/27/2017"
"79","205438062","1/30/2017","In Attendance","205438062|1/30/2017"
"80","205438062","1/31/2017","In Attendance","205438062|1/31/2017"
"81","205438062","2/1/2017","In Attendance","205438062|2/1/2017"
"82","205438062","2/2/2017","In Attendance","205438062|2/2/2017"
"83","205438062","2/3/2017","In Attendance","205438062|2/3/2017"
"84","205438062","2/6/2017","In Attendance","205438062|2/6/2017"
"85","205438062","2/7/2017","In Attendance","205438062|2/7/2017"
"86","219588654","9/2/2016","Tardy","219588654|9/2/2016"
"87","205438062","2/10/2017","In Attendance","205438062|2/10/2017"
"88","205438062","2/13/2017","In Attendance","205438062|2/13/2017"
"89","205438062","2/14/2017","In Attendance","205438062|2/14/2017"
"90","205438062","2/15/2017","In Attendance","205438062|2/15/2017"
"91","220076152","9/12/2016","Tardy","220076152|9/12/2016"
"92","205438062","2/17/2017","In Attendance","205438062|2/17/2017"
"93","205438062","2/28/2017","In Attendance","205438062|2/28/2017"
"94","221398134","9/12/2016","Tardy","221398134|9/12/2016"
"95","222602104","9/12/2016","Tardy","222602104|9/12/2016"
"96","205438062","3/3/2017","Unexcused Absence","205438062|3/3/2017"
"97","215366907","9/13/2016","Tardy","215366907|9/13/2016"
"98","219056090","9/13/2016","Tardy","219056090|9/13/2016"
"99","220076152","9/13/2016","Tardy","220076152|9/13/2016"
"101","205438062","3/10/2017","Unexcused Absence","205438062|3/10/2017"
"102","221181464","9/13/2016","Tardy","221181464|9/13/2016"
"103","205438062","3/15/2017","Unexcused Absence","205438062|3/15/2017"
"104","222487142","9/13/2016","Tardy","222487142|9/13/2016"
"105","205438062","3/17/2017","Unexcused Absence","205438062|3/17/2017"
"106","205438062","3/21/2017","In Attendance","205438062|3/21/2017"
"107","222602104","9/13/2016","Tardy","222602104|9/13/2016"
"108","219056090","9/14/2016","Tardy","219056090|9/14/2016"
"109","221394521","9/14/2016","Tardy","221394521|9/14/2016"
"110","234896496","9/14/2016","Tardy","234896496|9/14/2016"
"111","205438062","3/28/2017","In Attendance","205438062|3/28/2017"
"112","209862077","9/15/2016","Tardy","209862077|9/15/2016"
"113","219051869","9/15/2016","Tardy","219051869|9/15/2016"
"114","205438062","3/31/2017","In Attendance","205438062|3/31/2017"
"115","220190565","9/15/2016","Tardy","220190565|9/15/2016"
"116","221394521","9/15/2016","Tardy","221394521|9/15/2016"
"117","205438062","4/5/2017","In Attendance","205438062|4/5/2017"
"118","222487142","9/15/2016","Tardy","222487142|9/15/2016"
"119","205438062","4/7/2017","In Attendance","205438062|4/7/2017"
"120","222602104","9/15/2016","Tardy","222602104|9/15/2016"
"121","234192482","9/15/2016","Tardy","234192482|9/15/2016"
"122","205438062","4/13/2017","In Attendance","205438062|4/13/2017"
"123","205438062","4/18/2017","In Attendance","205438062|4/18/2017"
"124","205438062","4/19/2017","In Attendance","205438062|4/19/2017"
"125","234048551","9/15/2016","Tardy","234048551|9/15/2016"
"126","205438062","4/21/2017","In Attendance","205438062|4/21/2017"
"127","205438062","4/22/2017","In Attendance","205438062|4/22/2017"
"128","206213316","9/16/2016","Tardy","206213316|9/16/2016"
"130","221394521","9/16/2016","Tardy","221394521|9/16/2016"
"131","205438062","4/27/2017","In Attendance","205438062|4/27/2017"
"132","205438062","4/28/2017","In Attendance","205438062|4/28/2017"
"133","205438062","5/1/2017","In Attendance","205438062|5/1/2017"
"134","205438062","5/2/2017","In Attendance","205438062|5/2/2017"
"135","205438062","5/3/2017","In Attendance","205438062|5/3/2017"
"136","221398134","9/16/2016","Tardy","221398134|9/16/2016"
"137","222487142","9/16/2016","Tardy","222487142|9/16/2016"
"138","222966491","9/16/2016","Tardy","222966491|9/16/2016"
"139","205438062","5/9/2017","In Attendance","205438062|5/9/2017"
"140","224357764","9/16/2016","Tardy","224357764|9/16/2016"
"141","228040580","9/16/2016","Tardy","228040580|9/16/2016"
"142","205438062","5/12/2017","In Attendance","205438062|5/12/2017"
"143","205438062","5/22/2017","Unexcused Absence","205438062|5/22/2017"
"144","205438062","5/23/2017","In Attendance","205438062|5/23/2017"
"145","205438062","5/24/2017","In Attendance","205438062|5/24/2017"
"152","206213316","1/10/2017","In Attendance","206213316|1/10/2017"
"153","206213316","1/12/2017","In Attendance","206213316|1/12/2017"
"155","206213316","1/17/2017","Unexcused Absence","206213316|1/17/2017"
"156","211989876","9/20/2016","Tardy","211989876|9/20/2016"
"157","206213316","1/19/2017","Unexcused Absence","206213316|1/19/2017"
"158","214751406","9/20/2016","Tardy","214751406|9/20/2016"
"159","206213316","1/24/2017","In Attendance","206213316|1/24/2017"
"160","206213316","1/25/2017","In Attendance","206213316|1/25/2017"
"161","206213316","1/26/2017","Unexcused Absence","206213316|1/26/2017"
"162","206213316","1/27/2017","Unexcused Absence","206213316|1/27/2017"
"163","206213316","1/30/2017","In Attendance","206213316|1/30/2017"
"164","206213316","1/31/2017","In Attendance","206213316|1/31/2017"
"165","206213316","2/1/2017","Unexcused Absence","206213316|2/1/2017"
"166","220076152","9/20/2016","Tardy","220076152|9/20/2016"
"167","222602104","9/20/2016","Tardy","222602104|9/20/2016"
"168","222966491","9/20/2016","Tardy","222966491|9/20/2016"
"169","219911674","9/20/2016","Tardy","219911674|9/20/2016"
"170","234048551","9/20/2016","Tardy","234048551|9/20/2016"
"171","206213316","9/21/2016","Tardy","206213316|9/21/2016"
"172","206213316","2/13/2017","In Attendance","206213316|2/13/2017"
"173","206213316","2/14/2017","In Attendance","206213316|2/14/2017"
"174","206213316","2/15/2017","In Attendance","206213316|2/15/2017"
"175","206213316","2/16/2017","In Attendance","206213316|2/16/2017"
"176","206213316","2/17/2017","In Attendance","206213316|2/17/2017"
"177","206213316","2/28/2017","In Attendance","206213316|2/28/2017"
"178","206213316","3/1/2017","In Attendance","206213316|3/1/2017"
"179","206213316","3/2/2017","In Attendance","206213316|3/2/2017"
"180","206213316","3/3/2017","In Attendance","206213316|3/3/2017"
"181","206213316","3/6/2017","In Attendance","206213316|3/6/2017"
"182","206213316","3/7/2017","In Attendance","206213316|3/7/2017"
"183","206213316","3/8/2017","In Attendance","206213316|3/8/2017"
"184","206213316","3/9/2017","In Attendance","206213316|3/9/2017"
"185","206213316","3/10/2017","In Attendance","206213316|3/10/2017"
"186","211989876","9/21/2016","Tardy","211989876|9/21/2016"
"187","206213316","3/15/2017","In Attendance","206213316|3/15/2017"
"188","206213316","3/16/2017","In Attendance","206213316|3/16/2017"
"189","206213316","3/17/2017","In Attendance","206213316|3/17/2017"
