"57215","201706009","1/12/2017","Unexcused Absence","201706009|1/12/2017"
"57216","201706009","1/13/2017","In Attendance","201706009|1/13/2017"
"57269","201706009","1/12/2017","In Attendance","201706009|1/12/2017"
"57270","201706009","1/13/2017","In Attendance","201706009|1/13/2017"
"55","205438062","12/15/2016","In Attendance","205438062|12/15/2016"
"56","205438062","12/16/2016","In Attendance","205438062|12/16/2016"
"57","205438062","12/19/2016","In Attendance","205438062|12/19/2016"
"58","205438062","12/20/2016","In Attendance","205438062|12/20/2016"
"59","205438062","12/21/2016","In Attendance","205438062|12/21/2016"
"60","205438062","12/22/2016","Unexcused Absence","205438062|12/22/2016"
"61","205438062","1/4/2017","Unexcused Absence","205438062|1/4/2017"
"62","205438062","1/4/2017","Unexcused Absence","205438062|1/4/2017"
"146","205438062","12/15/2016","In Attendance","205438062|12/15/2016"
"147","205438062","12/16/2016","In Attendance","205438062|12/16/2016"
"149","205438062","12/20/2016","In Attendance","205438062|12/20/2016"
"150","205438062","12/21/2016","In Attendance","205438062|12/21/2016"
"151","205438062","12/22/2016","Unexcused Absence","205438062|12/22/2016"
"11010","205438062","12/19/2016","Tardy","205438062|12/19/2016"
"245","206213316","10/20/2016","In Attendance","206213316|10/20/2016"
"282","206213316","10/20/2016","In Attendance","206213316|10/20/2016"
"283","206213316","10/21/2016","In Attendance","206213316|10/21/2016"
"2141","206213316","10/21/2016","Tardy","206213316|10/21/2016"
"343","206591950","3/1/2017","In Attendance","206591950|3/1/2017"
"344","206591950","3/2/2017","In Attendance","206591950|3/2/2017"
"346","206591950","3/6/2017","In Attendance","206591950|3/6/2017"
"347","206591950","3/7/2017","In Attendance","206591950|3/7/2017"
"393","206591950","3/1/2017","In Attendance","206591950|3/1/2017"
"394","206591950","3/2/2017","In Attendance","206591950|3/2/2017"
"395","206591950","3/6/2017","In Attendance","206591950|3/6/2017"
"396","206591950","3/7/2017","In Attendance","206591950|3/7/2017"
"467","207052606","1/4/2017","In Attendance","207052606|1/4/2017"
"468","207052606","1/4/2017","In Attendance","207052606|1/4/2017"
"481","207052606","1/23/2017","In Attendance","207052606|1/23/2017"
"482","207052606","1/24/2017","In Attendance","207052606|1/24/2017"
"551","207052606","1/23/2017","In Attendance","207052606|1/23/2017"
"552","207052606","1/24/2017","In Attendance","207052606|1/24/2017"
"57271","207057035","11/17/2016","Excused Absence","207057035|11/17/2016"
"57273","207057035","11/28/2016","Excused Absence","207057035|11/28/2016"
"57320","207057035","11/17/2016","In Attendance","207057035|11/17/2016"
"57321","207057035","11/28/2016","Excused Absence","207057035|11/28/2016"
"555","208659789","3/21/2017","In Attendance","208659789|3/21/2017"
"556","208659789","3/22/2017","In Attendance","208659789|3/22/2017"
"557","208659789","3/23/2017","In Attendance","208659789|3/23/2017"
"558","208659789","3/24/2017","In Attendance","208659789|3/24/2017"
"563","208659789","3/31/2017","Excused Absence","208659789|3/31/2017"
"572","208659789","1/19/2017","In Attendance","208659789|1/19/2017"
"573","208659789","1/23/2017","In Attendance","208659789|1/23/2017"
"574","208659789","1/24/2017","In Attendance","208659789|1/24/2017"
"604","208659789","3/21/2017","In Attendance","208659789|3/21/2017"
"605","208659789","3/22/2017","In Attendance","208659789|3/22/2017"
"606","208659789","3/23/2017","In Attendance","208659789|3/23/2017"
"607","208659789","3/24/2017","In Attendance","208659789|3/24/2017"
"608","208659789","3/31/2017","In Attendance","208659789|3/31/2017"
"630","208659789","5/5/2017","In Attendance","208659789|5/5/2017"
