ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
7483,73,218545978,4/12/2017,8:33,,,NULL,NULL,0
5659,73,217102995,3/27/2017,8:48,,,NULL,NULL,0
6963,73,218065035,NULL,NULL,,,4/6/2017,15:40,0
4372,73,236959441,NULL,NULL,,,3/15/2017,12:42,0
4300,73,222581233,NULL,NULL,,,3/15/2017,11:33,0
4373,73,218545978,3/16/2017,8:54,,,NULL,NULL,0
6965,73,236969077,NULL,NULL,,,4/6/2017,15:40,0
4370,73,217953355,NULL,NULL,,,3/15/2017,12:40,0
6964,73,207052606,NULL,NULL,,,4/6/2017,15:40,0
7302,73,232702704,4/11/2017,8:42,,,NULL,NULL,0
7303,73,215738816,4/11/2017,8:43,,,NULL,NULL,0
7300,73,216901678,4/11/2017,8:38,,,NULL,NULL,0
7301,73,215455122,4/11/2017,8:40,,,NULL,NULL,0
7306,73,220389456,4/11/2017,8:44,,,NULL,NULL,0
7307,73,214888349,4/11/2017,8:45,,,NULL,NULL,0
7304,73,221181480,4/11/2017,8:43,,,NULL,NULL,0
7305,73,220012637,4/11/2017,8:44,,,NULL,NULL,0
4145,73,220499545,NULL,NULL,,,3/13/2017,15:46,0
4376,73,226730190,3/16/2017,8:55,,,NULL,NULL,0
7308,73,216046821,4/11/2017,8:47,,,NULL,NULL,0
7309,73,212804280,4/11/2017,8:47,,,NULL,NULL,0
4141,73,220962914,NULL,NULL,,,3/13/2017,15:44,0
4140,73,216631093,NULL,NULL,,,3/13/2017,15:44,0
4143,73,220389456,NULL,NULL,,,3/13/2017,15:46,0
4377,73,242036549,3/16/2017,8:55,,,NULL,NULL,0
5650,73,220202287,3/27/2017,8:39,,,NULL,NULL,0
5651,73,221013758,3/27/2017,8:41,,,NULL,NULL,0
4309,73,216863860,NULL,NULL,,,3/15/2017,12:05,0
4839,73,226730190,3/21/2017,9:09,,,NULL,NULL,0
4838,73,223198193,3/21/2017,9:05,,,3/23/2017,15:48,54.717
7045,73,221142714,NULL,NULL,,,4/6/2017,15:54,0
7044,73,226672145,NULL,NULL,,,4/6/2017,15:54,0
7047,73,215890245,NULL,NULL,,,4/6/2017,15:57,0
7046,73,216487819,NULL,NULL,,,4/6/2017,15:56,0
7041,73,235383247,NULL,NULL,,,4/6/2017,15:53,0
7040,73,216453183,NULL,NULL,,,4/6/2017,15:53,0
7043,73,223274853,NULL,NULL,,,4/6/2017,15:53,0
7042,73,224819219,NULL,NULL,,,4/6/2017,15:53,0
4170,73,236959094,NULL,NULL,,,3/13/2017,15:50,0
7049,73,220962930,NULL,NULL,,,4/6/2017,15:59,0
7048,73,216453423,NULL,NULL,,,4/6/2017,15:58,0
4171,73,216885871,NULL,NULL,,,3/13/2017,15:50,0
4938,73,218545978,3/22/2017,8:45,,,NULL,NULL,0
4939,73,220012579,3/22/2017,8:45,,,NULL,NULL,0
4329,73,223983198,NULL,NULL,,,3/15/2017,12:18,0
4328,73,215675604,NULL,NULL,,,3/15/2017,12:15,0
6989,73,236052197,NULL,NULL,,,4/6/2017,15:43,0
6988,73,220368674,NULL,NULL,,,4/6/2017,15:43,0
4321,73,223339714,NULL,NULL,,,3/15/2017,12:11,0
4178,73,218545978,NULL,NULL,,,3/13/2017,15:50,0
4323,73,216102640,NULL,NULL,,,3/15/2017,12:12,0
4322,73,216564161,NULL,NULL,,,3/15/2017,12:12,0
4325,73,237002209,NULL,NULL,,,3/15/2017,12:13,0
4324,73,216759860,NULL,NULL,,,3/15/2017,12:12,0
4327,73,217182989,NULL,NULL,,,3/15/2017,12:14,0
4326,73,214888349,NULL,NULL,,,3/15/2017,12:14,0
5414,73,224819219,NULL,NULL,,,3/23/2017,15:53,0
5415,73,215738816,NULL,NULL,,,3/23/2017,15:55,0
5416,73,220982136,NULL,NULL,,,3/23/2017,15:55,0
5417,73,222274300,NULL,NULL,,,3/23/2017,15:56,0
5410,73,223323957,NULL,NULL,,,3/23/2017,15:48,0
5411,73,222467359,NULL,NULL,,,3/23/2017,15:48,0
5412,73,218509479,NULL,NULL,,,3/23/2017,15:48,0
5413,73,223156704,NULL,NULL,,,3/23/2017,15:49,0
5418,73,216766659,NULL,NULL,,,3/23/2017,15:57,0
5419,73,215675604,NULL,NULL,,,3/23/2017,15:57,0
5429,73,218621787,3/24/2017,8:45,,,NULL,NULL,0
4215,73,213777147,NULL,NULL,,,3/13/2017,16:09,0
4214,73,216440479,NULL,NULL,,,3/13/2017,16:09,0
4217,73,226884740,3/15/2017,8:34,,,3/15/2017,11:10,2.6
4216,73,237134309,NULL,NULL,,,3/13/2017,16:09,0
4211,73,227688280,NULL,NULL,,,3/13/2017,16:03,0
4210,73,231764408,NULL,NULL,,,3/13/2017,16:03,0
4198,73,222598781,NULL,NULL,,,3/13/2017,16:00,0
4199,73,223108622,NULL,NULL,,,3/13/2017,16:00,0
4196,73,223206558,NULL,NULL,,,3/13/2017,16:00,0
4197,73,219935822,NULL,NULL,,,3/13/2017,16:00,0
4194,73,232531681,NULL,NULL,,,3/13/2017,15:59,0
4195,73,275281558,NULL,NULL,,,3/13/2017,16:00,0
4219,73,216901678,3/15/2017,8:36,,,NULL,NULL,0
4218,73,211722079,3/15/2017,8:34,,,NULL,NULL,0
4190,73,226884740,NULL,NULL,,,3/13/2017,15:58,0
4191,73,216486993,NULL,NULL,,,3/13/2017,15:59,0
5670,73,220703003,3/27/2017,9:48,,,NULL,NULL,0
4358,73,222537730,3/15/2017,12:33,,,NULL,NULL,0
4359,73,201706009,3/15/2017,12:33,,,NULL,NULL,0
5428,73,214492027,NULL,NULL,,,3/23/2017,16:03,0
4354,73,216273300,NULL,NULL,,,3/15/2017,12:30,0
4149,73,239651193,NULL,NULL,,,3/13/2017,15:47,0
4356,73,214712432,NULL,NULL,,,3/15/2017,12:31,0
4357,73,215238999,NULL,NULL,,,3/15/2017,12:32,0
4350,73,220012637,NULL,NULL,,,3/15/2017,12:29,0
4351,73,216486993,NULL,NULL,,,3/15/2017,12:29,0
4352,73,232403402,NULL,NULL,,,3/15/2017,12:29,0
4148,73,216453423,NULL,NULL,,,3/13/2017,15:47,0
4813,73,220214647,3/21/2017,8:33,,,3/23/2017,15:34,55.017
4812,73,211722079,3/21/2017,8:32,,,NULL,NULL,0
4817,73,220814677,3/21/2017,8:36,,,NULL,NULL,0
4816,73,226857217,3/21/2017,8:36,,,NULL,NULL,0
4815,73,237002209,3/21/2017,8:33,,,3/23/2017,15:57,55.4
4814,73,224358028,3/21/2017,8:33,,,NULL,NULL,0
4819,73,242942639,3/21/2017,8:39,,,3/23/2017,15:57,55.3
4818,73,226777548,3/21/2017,8:38,,,3/23/2017,15:56,55.3
4115,73,217197920,NULL,NULL,,,3/13/2017,15:39,0
5402,73,220288385,NULL,NULL,,,3/23/2017,15:43,0
4144,73,219995776,NULL,NULL,,,3/13/2017,15:46,0
4952,73,207052606,3/22/2017,9:18,,,NULL,NULL,0
4953,73,216487223,3/22/2017,9:40,,,NULL,NULL,0
4950,73,227688280,3/22/2017,9:00,,,NULL,NULL,0
4951,73,217197698,3/22/2017,9:09,,,NULL,NULL,0
4147,73,217197698,NULL,NULL,,,3/13/2017,15:46,0
4080,73,214842387,3/7/2017,10:13,,,NULL,NULL,0
4146,73,220102644,NULL,NULL,,,3/13/2017,15:46,0
7488,73,214481558,4/12/2017,8:36,,,NULL,NULL,0
4101,73,222247652,NULL,NULL,,,3/13/2017,15:36,0
4100,73,220370043,NULL,NULL,,,3/13/2017,15:36,0
4103,73,220372304,NULL,NULL,,,3/13/2017,15:37,0
